slide,modelA,modelB,pattern,n_tiles,fg_thresh,hard_thresh,soft_mean,soft_median,soft_std,hard_mean,hard_median,hard_std
TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9855951590024287,0.9900026594632485,0.012783598365385684,0.8611678501986313,0.897400684600753,0.11788856508059789
TCGA-KL-8328-01Z-00-DX1.497ddcb5-0436-4c76-a633-4744e24e6efe_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9853548294677527,0.990454114184203,0.012895276303447755,0.8365759705711744,0.8868258087380023,0.13060134409196977
TCGA-KL-8329-01Z-00-DX1.6c9000ef-34ff-4e44-84b3-755a868f6a4e_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9901499767382056,0.9918756766007175,0.005228936790497111,0.8947560192623503,0.9072927064581455,0.05321837446545224
TCGA-KL-8329-01Z-00-DX1.6c9000ef-34ff-4e44-84b3-755a868f6a4e_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9861421647411107,0.9895513961874085,0.011063128236445714,0.8341728335639894,0.8755542002772788,0.13612443966578794
TCGA-KL-8329-01Z-00-DX1.6c9000ef-34ff-4e44-84b3-755a868f6a4e_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9873755580934598,0.9920012221721247,0.011475835814814282,0.831428021957047,0.8949823094747426,0.14276395942214393
TCGA-KL-8330-01Z-00-DX1.30a61e5b-9379-498a-9aa4-60fd7a3a2f32_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9807793822645003,0.9840053693162143,0.012325538161698103,0.9229126258734413,0.9361263140866058,0.05682964382997591
TCGA-KL-8330-01Z-00-DX1.30a61e5b-9379-498a-9aa4-60fd7a3a2f32_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9804187826149544,0.98137762151301,0.012819041427043258,0.8850249192120756,0.9278939174823242,0.12479840723340772
TCGA-KL-8330-01Z-00-DX1.30a61e5b-9379-498a-9aa4-60fd7a3a2f32_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9836615752191686,0.9882150091959172,0.014115623950906656,0.8854784559327032,0.9375148182768962,0.1281830441702465
TCGA-KL-8331-01Z-00-DX1.3c39f9b9-b639-4bca-a415-bf7427ea2ba5_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9873530302699035,0.989429313554522,0.007318822924006193,0.8965133350167177,0.9113088935928635,0.08548485549746561
TCGA-KL-8331-01Z-00-DX1.3c39f9b9-b639-4bca-a415-bf7427ea2ba5_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9883625482451842,0.9906152712668618,0.008220715127480684,0.8784483583716565,0.9159370098882318,0.09919398282850347
TCGA-KL-8331-01Z-00-DX1.3c39f9b9-b639-4bca-a415-bf7427ea2ba5_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9884053973641987,0.9921029355339569,0.009813911519888275,0.8517548534013045,0.8927569437708432,0.10951593251147325
TCGA-KL-8332-01Z-00-DX1.3a375f5f-38e4-4022-8b36-5d8547870417_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.986481026864078,0.9889242185447421,0.007717885876973723,0.8887423855502363,0.906222107922384,0.06659130613220739
TCGA-KL-8332-01Z-00-DX1.3a375f5f-38e4-4022-8b36-5d8547870417_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9835309703152805,0.9867835577460962,0.013171881477645279,0.8207069066854176,0.8598050445181282,0.14079725759686845
TCGA-KL-8332-01Z-00-DX1.3a375f5f-38e4-4022-8b36-5d8547870417_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9829920751073341,0.9874737020083004,0.013163233558507174,0.810039412264008,0.8604889076722884,0.14311009979707798
TCGA-KL-8333-01Z-00-DX1.830e3f78-ba43-4b42-b2b5-f3be10d2b781_patches_images,conch,musk,*_L-1_Havg.png,100,p10,otsu,0.9850318078072476,0.9862722986543739,0.0074128558955022525,0.873541156908346,0.8966473537236659,0.07783961345449156
TCGA-KL-8333-01Z-00-DX1.830e3f78-ba43-4b42-b2b5-f3be10d2b781_patches_images,conch,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9838312081079459,0.9862936716056088,0.009752348776589865,0.8397895949644352,0.890038305521977,0.12561031119293925
TCGA-KL-8333-01Z-00-DX1.830e3f78-ba43-4b42-b2b5-f3be10d2b781_patches_images,musk,hoptimus,*_L-1_Havg.png,100,p10,otsu,0.9883160413080995,0.992700407807041,0.011489860809060792,0.8741546736235487,0.9187608476799831,0.12612601090556189
